orden,sitios,codigo,fecha,año,campaña,tem_agua,tem_aire,od,ph,olores,color,espumas,mat_susp,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,nitrato_mg_l,nh4_mg_l,p_total_l_mg_l,fosf_ortofos_mg_l,dbo_mg_l,dqo_mg_l,turbiedad_ntu,hidr_deriv_petr_ug_l,cr_total_mg_l,cd_total_mg_l,clorofila_a_ug_l,microcistina_ug_l,ica,calidad_de_agua,gobierno_local,sitio,latitud,longitud,Poblacion_partido,Personas_con_cloacas,Actividad_principal,"Agricultura, ganadería, caza y silvicultura",Pesca explotación de criaderos de peces y granjas piscícolas y servicios conexos,Explotación de minas y canteras,Industria Manufacturera,"Electricidad, gas y agua",Construcción,Servicios
32.0,Costanera Hudson Calle 63,BZ080,27/10/2021,2021.0,primavera,26,26,11.52,8.94,Ausencia,Ausencia,Ausencia,Ausencia,190000,20000,500,5.4,0.34,0.47,0.19,13,no se midió,50,<100,0.0057,<0.001,0.84016,<0.20,33,Extremadamente deteriorada,Berazategui,Costanera Hudson calle 63,-34.753,-58.108.281,358.712,267.760,"""Agricultura, ganadería, caza y silvicultura""",1.0,2.0,0.0,7.0,6.0,6.0,3.0
,,CA CU01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CABA,Reserva ecológica ciudad universitaria costanera norte,-34.535.878,-58.445.933,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",,,,,,,
,,CA CU02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CABA,Reserva ciudad universitaria: boca de entrada al humedal  desembocadura arroyo white,-34.537.272,-58.448.339,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",,,,,,,
,,CA CU03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CABA,Reserva ciudad universitaria: marisma canal de marea principal,-34.538.686,-58.445.589,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",,,,,,,
,,CA CU04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CABA,Reserva ciudad universitaria: humedal central   planicie de marea,-34.539.667,-58.443.781,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",,,,,,,
,,CA CU05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CABA,Reserva ciudad universitaria: dique sur subsistema laguna,-34.540.675,-584.419,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",,,,,,,
18.0,Parque de los Niños,CA041,24/2/2021,2021.0,verano,25.2,27.5,4.7,7.6,Ausencia,Ausencia,Ausencia,Ausencia,4000,3500,40,no se midió,0.3,0.76,no se midió,<5,<50,84,<100,<10,0.018,0,<0.15,41,Extremadamente deteriorada,,,,,,,,,,,,,,
18.0,Parque de los Niños,CA041,19/5/2021,2021.0,otoño,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,,,,,,,,,,,,,,
18.0,Parque de los Niños,CA041,25/8/2021,2021.0,invierno,15.2,,6.9,7.6,Ausencia,Ausencia,Ausencia,Ausencia,50000,11000,4100,4.2,3.09,0.1,0.38,<5,<50,32,<100,<0.01,<0.001,<0.010,<0.20,37,Extremadamente deteriorada,,,,,,,,,,,,,,
18.0,Parque de los Niños,CA041,27/10/2021,2021.0,primavera,24.7,no se midió,7.2,7.7,Ausencia,Ausencia,Ausencia,Ausencia,23000,2500,5200,5.3,1.6,0.27,0.33,4.2,41,16,<100,<0.005,<0.001,0.01543,<0.20,39,Extremadamente deteriorada,,,,,,,,,,,,,,
19.0,Costanera Norte - Espigón Abanico,CA044,24/2/2021,2021.0,verano,26.1,27.5,4.7,7.4,Ausencia,Ausencia,Ausencia,Ausencia,25000,3800,370,no se midió,1.2,0.64,no se midió,<5,<50,59,<100,<10,0.019,0.001,<0.15,34,Extremadamente deteriorada,CABA,Costanera norte espigón abanico,-34.547.089,-58.430.231,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",,,,,,,
19.0,Costanera Norte - Espigón Abanico,CA044,19/5/2021,2021.0,otoño,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,no se midió,CABA,Costanera norte espigón abanico,-34.547.089,-58.430.231,3.121.707,3.049.672,"""servicios inmobiliarios, financieros y comercio""",,,,,,,
